vehicle_id,manufacturer,range,model,derivative,transmission,trim,sector,bodystyle,fueltype,fueldelivery,engine_litres,drivetrain
90063,AUDI,A8,A8 SALOON,L 55 TFSI Quattro Black Edition 4dr Tiptron [C+S],AUTOMATIC,BLACK EDITION,PRESTIGE PREMIER,SALOON,PETROL,TURBO,3.0,FOUR WHEEL DRIVE
83048,TOYOTA,PRIUS+,PRIUS+ ESTATE,1.8 VVTi Icon TSS 5dr CVT Auto [Nav],AUTOMATIC,ICON,MPV LARGE,ESTATE,PETROL/ELECTRIC HYBRID,INJECTION,1.8,FRONT WHEEL DRIVE
85753,KIA,SPORTAGE,SPORTAGE ESTATE,1.6 GDi ISG 1 5dr,MANUAL,1,4X4 MEDIUM,ESTATE,PETROL,INJECTION,1.6,FRONT WHEEL DRIVE
89294,LAND ROVER,DISCOVERY SPORT,DISCOVERY SPORT DIESEL SW,2.0 D240 R-Dynamic S 5dr Auto [5 Seat],AUTOMATIC,R-DYNAMIC S,4X4 MEDIUM,STATION WAGON,DIESEL,TURBO,2.0,FOUR WHEEL DRIVE
86450,HONDA,CR-V,CR-V ESTATE,1.5 VTEC Turbo SE 5dr 2WD,MANUAL,SE,4X4 MEDIUM,ESTATE,PETROL,TURBO,1.5,FRONT WHEEL DRIVE
89551,AUDI,A4,A4 SALOON,45 TFSI Quattro Vorsprung 4dr S Tronic,AUTOMATIC,VORSPRUNG,PRESTIGE MEDIUM,SALOON,PETROL,TURBO,2.0,FOUR WHEEL DRIVE
68112,BMW,4 SERIES,4 SERIES DIESEL COUPE,420d [190] xDrive Sport 2dr Auto [Prof Media],AUTOMATIC,SPORT,PRESTIGE COUPE MEDIUM,COUPE,DIESEL,TURBO,2.0,FOUR WHEEL DRIVE
81984,VOLKSWAGEN,POLO,POLO HATCHBACK,1.0 TSI 115 R Line 5dr DSG,AUTOMATIC,R LINE,SUPERMINI,HATCHBACK,PETROL,TURBO,1.0,FRONT WHEEL DRIVE
90625,SEAT,LEON,LEON DIESEL ESTATE,2.0 TDI 150 FR [EZ] 5dr,MANUAL,FR,ESTATE MEDIUM,ESTATE,DIESEL,TURBO,2.0,FRONT WHEEL DRIVE
89045,AUDI,A7,A7 SPORTBACK,45 TFSI S Line 5dr S Tronic,AUTOMATIC,S LINE,PRESTIGE LARGE,HATCHBACK,PETROL,TURBO,2.0,FRONT WHEEL DRIVE
76282,FORD,KUGA,KUGA DIESEL ESTATE,2.0 TDCi Zetec 5dr,MANUAL,ZETEC,4X4 MEDIUM,ESTATE,DIESEL,TURBO,2.0,FOUR WHEEL DRIVE
78981,BMW,5 SERIES,5 SERIES TOURING,540i xDrive M Sport 5dr Auto,AUTOMATIC,M SPORT,PRESTIGE ESTATE LARGE,ESTATE,PETROL,TURBO,3.0,FOUR WHEEL DRIVE
